title,image-alter,src,secret
铁矿,铁矿,https://patchwiki.biligame.com/images/dsp/thumb/5/57/8uelmemz3p6e2e9puiqw6xmkoyer7iz.png/40px-%E9%93%81%E7%9F%BF.png,"https://patchwiki.biligame.com/images/dsp/thumb/5/57/8uelmemz3p6e2e9puiqw6xmkoyer7iz.png/60px-%E9%93%81%E7%9F%BF.png 1.5x, https://patchwiki.biligame.com/images/dsp/5/57/8uelmemz3p6e2e9puiqw6xmkoyer7iz.png 2x"
铜矿,铜矿,https://patchwiki.biligame.com/images/dsp/thumb/f/f8/dxnqyuz7j954ipni8j5xke0zkvyz1m7.png/40px-%E9%93%9C%E7%9F%BF.png,"https://patchwiki.biligame.com/images/dsp/thumb/f/f8/dxnqyuz7j954ipni8j5xke0zkvyz1m7.png/60px-%E9%93%9C%E7%9F%BF.png 1.5x, https://patchwiki.biligame.com/images/dsp/f/f8/dxnqyuz7j954ipni8j5xke0zkvyz1m7.png 2x"
石矿,石矿,https://patchwiki.biligame.com/images/dsp/thumb/b/b5/4svj4l67evwqrprxdx9hef15sf78bm4.png/40px-%E7%9F%B3%E7%9F%BF.png,"https://patchwiki.biligame.com/images/dsp/thumb/b/b5/4svj4l67evwqrprxdx9hef15sf78bm4.png/60px-%E7%9F%B3%E7%9F%BF.png 1.5x, https://patchwiki.biligame.com/images/dsp/b/b5/4svj4l67evwqrprxdx9hef15sf78bm4.png 2x"
煤矿,煤矿,https://patchwiki.biligame.com/images/dsp/thumb/4/49/6e3iiwkl7yovan9d1lh9dxrt74ows7b.png/40px-%E7%85%A4%E7%9F%BF.png,"https://patchwiki.biligame.com/images/dsp/thumb/4/49/6e3iiwkl7yovan9d1lh9dxrt74ows7b.png/60px-%E7%85%A4%E7%9F%BF.png 1.5x, https://patchwiki.biligame.com/images/dsp/4/49/6e3iiwkl7yovan9d1lh9dxrt74ows7b.png 2x"
硅石,硅石,https://patchwiki.biligame.com/images/dsp/thumb/1/1a/c226et8vatvfiqyv23rqm5aoebsl1y1.png/40px-%E7%A1%85%E7%9F%B3.png,"https://patchwiki.biligame.com/images/dsp/thumb/1/1a/c226et8vatvfiqyv23rqm5aoebsl1y1.png/60px-%E7%A1%85%E7%9F%B3.png 1.5x, https://patchwiki.biligame.com/images/dsp/1/1a/c226et8vatvfiqyv23rqm5aoebsl1y1.png 2x"
钛石,钛石,https://patchwiki.biligame.com/images/dsp/thumb/5/5c/69jyzkugn3er0j64mpr5buiydrph8ab.png/40px-%E9%92%9B%E7%9F%B3.png,"https://patchwiki.biligame.com/images/dsp/thumb/5/5c/69jyzkugn3er0j64mpr5buiydrph8ab.png/60px-%E9%92%9B%E7%9F%B3.png 1.5x, https://patchwiki.biligame.com/images/dsp/5/5c/69jyzkugn3er0j64mpr5buiydrph8ab.png 2x"
水,水,https://patchwiki.biligame.com/images/dsp/thumb/a/a9/9n8baff1qyd5sp43g0jdy04kxfxlx60.png/40px-%E6%B0%B4.png,"https://patchwiki.biligame.com/images/dsp/thumb/a/a9/9n8baff1qyd5sp43g0jdy04kxfxlx60.png/60px-%E6%B0%B4.png 1.5x, https://patchwiki.biligame.com/images/dsp/a/a9/9n8baff1qyd5sp43g0jdy04kxfxlx60.png 2x"
原油,原油,https://patchwiki.biligame.com/images/dsp/thumb/d/db/0h91671qeo19k2khmsekga753lnysyd.png/40px-%E5%8E%9F%E6%B2%B9.png,"https://patchwiki.biligame.com/images/dsp/thumb/d/db/0h91671qeo19k2khmsekga753lnysyd.png/60px-%E5%8E%9F%E6%B2%B9.png 1.5x, https://patchwiki.biligame.com/images/dsp/d/db/0h91671qeo19k2khmsekga753lnysyd.png 2x"
氢,氢,https://patchwiki.biligame.com/images/dsp/thumb/a/a4/52ludbsmn4js7g91lcbyhinipg1x15q.png/40px-%E6%B0%A2.png,"https://patchwiki.biligame.com/images/dsp/thumb/a/a4/52ludbsmn4js7g91lcbyhinipg1x15q.png/60px-%E6%B0%A2.png 1.5x, https://patchwiki.biligame.com/images/dsp/a/a4/52ludbsmn4js7g91lcbyhinipg1x15q.png 2x"
重氢,重氢,https://patchwiki.biligame.com/images/dsp/thumb/5/57/ewxrrehqpbp0f700eip5he8c0l6f1q4.png/40px-%E9%87%8D%E6%B0%A2.png,"https://patchwiki.biligame.com/images/dsp/thumb/5/57/ewxrrehqpbp0f700eip5he8c0l6f1q4.png/60px-%E9%87%8D%E6%B0%A2.png 1.5x, https://patchwiki.biligame.com/images/dsp/5/57/ewxrrehqpbp0f700eip5he8c0l6f1q4.png 2x"
